Epoch 1, Loss: 0.7758473739027977, Accuracy: 0.4896496815286624
Epoch 2, Loss: 0.6926934242248535, Accuracy: 0.4896496815286624
Epoch 3, Loss: 0.6390891768038273, Accuracy: 0.5573248407643312
Epoch 4, Loss: 0.4280460324138403, Accuracy: 0.8009554140127388
Epoch 5, Loss: 0.3853691563010216, Accuracy: 0.8152866242038217
Epoch 6, Loss: 0.30498908571898936, Accuracy: 0.8423566878980892
Epoch 7, Loss: 0.22980795260518788, Accuracy: 0.8972929936305732
Epoch 8, Loss: 0.2140009512193501, Accuracy: 0.9092356687898089
Epoch 9, Loss: 0.17690737210214139, Accuracy: 0.9251592356687898
Epoch 10, Loss: 0.16603984469547867, Accuracy: 0.9339171974522293
Epoch 11, Loss: 0.10346932737156748, Accuracy: 0.9562101910828026
Epoch 12, Loss: 0.06293553399518714, Accuracy: 0.9737261146496815
Epoch 13, Loss: 0.04165450956643326, Accuracy: 0.9848726114649682
Epoch 14, Loss: 0.1285081001580693, Accuracy: 0.9530254777070064
Epoch 15, Loss: 0.06762916367733851, Accuracy: 0.9777070063694268
Epoch 16, Loss: 0.04942156006582081, Accuracy: 0.9777070063694268
